adjective,useful,valid for pattern 4,pattern 4 type,valid for pattern 3
کنداگر,0,,,
کندله,0,,,
کندواله,0,,,
کندوکاو,0,,,
کنس,0,,,
کنسک,0,,,
کنغاله,0,,,
کنفت,0,,,
کنک,0,,,
کنگ,0,,,
که,0,,,
کها,0,,,
کهبد,0,,,
کهبل,0,,,
کهر,0,,,
کهسله,0,,,
کو,0,,,
کوپه,0,,,
کوتوله,0,,,
کوچ,0,,,
کودن,0,,,
کور خواندن,0,,,
کوز,0,,,
کوژ,0,,,
کوسان,0,,,
کوسه,0,,,
کوکی,0,,,
کولنگ,0,,,
کوله,0,,,
کومش,0,,,
کی,0,,,
کیاده,0,,,
کیچ,0,,,
کیچ کیچ,0,,,
کیفری,0,,,
کیفی,0,,,
کیل,0,,,
کین,0,,,
کیوانی,0,,,
گاری,0,,,
گازر,0,,,
گاگول,0,,,
گاله,0,,,
گامبو,0,,,
گایه,0,,,
گبر,0,,,
گبز,0,,,
گپ,0,,,
گته,0,,,
گجسته,0,,,
گچه,0,,,
گدا,0,,,
گدامنش,0,,,
گذارش,0,,,
گذاره,0,,,
گراز,0,,,
گرایش,0,,,
گربز,0,,,
گرد,0,,,
گرداس,0,,,
گردل,0,,,
گردن کلفت,0,,,
گردنگ,0,,,
گرست,0,,,
گرسنه,0,,,
گره گیر,0,,,
گروش,0,,,
گروگر,0,,,
گریزپا,0,,,
گریه,0,,,
گزارش,0,,,
گزاره,0,,,
گزاره کردن,0,,,
گزافه,0,,,
گزش,0,,,
گزیرش,0,,,
گزینش,0,,,
گژ,0,,,
گس,0,,,
گست,0,,,
گستردنی,0,,,
گسترش,0,,,
گستن,0,,,
گش,0,,,
گشاده زبان,0,,,
گشن,0,,,
گشنه,0,,,
گفت و شنود,0,,,
گفت و شنید,0,,,
گفتمان,0,,,
گل,0,,,
گلست,0,,,
گلناری,0,,,
گله مند,0,,,
گلوگیر,0,,,
گلی,0,,,
گم,0,,,
گم شده,0,,,
گناهکار,0,,,
گنجشک روزی,0,,,
گندله,0,,,
گندیده,0,,,
گنگ,0,,,
گنگلاج,0,,,
گو,0,,,
گوارشت,0,,,
گوال,0,,,
گوالش,0,,,
گواه,0,,,
گودنشین,0,,,
گوژپشت,0,,,
گوش خراش,0,,,
گوشت,0,,,
گوشتخوار,0,,,
گوشزد,0,,,
گوشور,0,,,
گول,0,,,
گویر,0,,,
گویش,0,,,
گیج,0,,,
گیدی,0,,,
گیر,0,,,
لا,0,,,
لات,0,,,
لاج,0,,,
لاده,0,,,
لاشی,0,,,
لاغر,0,,,
لاک,0,,,
لاکی,0,,,
لانه,0,,,
لبریز,0,,,
لپان,0,,,
لتره,0,,,
لجاره,0,,,
لجلاج,0,,,
لچ,0,,,
لچر,0,,,
لخشان,0,,,
لخشه,0,,,
لخلخ,0,,,
لزیر,0,,,
لس,0,,,
لست,0,,,
لش,0,,,
لشکرشکار,0,,,
لشن,0,,,
لغ,0,,,
لغزش,0,,,
لفتره,0,,,
لفجن,0,,,
لقلقو,0,,,
لک,0,,,
لکات,0,,,
لکام,0,,,
لکنته,0,,,
لم,0,,,
لمالم,0,,,
لمتر,0,,,
لنبان,0,,,
لنبر,0,,,
لنبک,0,,,
لنبه,0,,,
لنج,0,,,
لندهور,0,,,
لندوک,0,,,
لنگا,0,,,
لهاشم,0,,,
لهبله,0,,,
لهنه,0,,,
لوالوا,0,,,
لوت,0,,,
لوچ,0,,,
لوخ,0,,,
لوز,0,,,
لوش,0,,,
لوطی,0,,,
لول,0,,,
لوند,0,,,
لیان,0,,,
لیتک,0,,,
لیم,0,,,
لیوه,0,,,
مات,0,,,
ماخ,0,,,
مادر,0,,,
ماده‌گرا,0,,,
ماردی,0,,,
ماری,0,,,
مازندرانی,0,,,
ماشینی,0,,,
مافنگی,0,,,
ماکول,0,,,
ماله,0,,,
ماهوار,0,,,
مبارک,0,,,
متفاوت,0,,,
مجازی,0,,,
مچاله,0,,,
مچل,0,,,
مچول,0,,,
محکوم,0,,,
مرخشه,0,,,
مرد,0,,,
مردرند,0,,,
مردم پسند,0,,,
مردم سالاری,0,,,
مردمی,0,,,
مردنی,0,,,
مرس,0,,,
مروزی,0,,,
مس,0,,,
مستانه,0,,,
مسقره,0,,,
مشت,0,,,
مشتی,0,,,
مشدی,0,,,
مشکوک,0,,,
مشنگ,0,,,
مشهدی,0,,,
معاود,0,,,
مغلظ,0,,,
مغولی,0,,,
مفتقد,0,,,
مفینه,0,,,
مقیر,0,,,
مگو,0,,,
ملس,0,,,
ملنگ,0,,,
ملوان,0,,,
ملوس,0,,,
ملول,0,,,
منبل,0,,,
مندبور,0,,,
مندخانی,0,,,
مندور,0,,,
منگ,0,,,
منگل,0,,,
منگول,0,,,
مهربان,0,,,
مهربخت,0,,,
مهره باز,0,,,
مهفام,0,,,
مهندم,0,,,
مهوار,0,,,
مهوش,0,,,
موازی,0,,,
موچل,0,,,
موچول,0,,,
مورب,0,,,
موش,0,,,
مولا,0,,,
مولش,0,,,
مومیایی,0,,,
مویه,0,,,
می خوش,0,,,
میانجی,0,,,
میخکوب,0,,,
میز,0,,,
میگون,0,,,
مینافام,0,,,
ناآهار,0,,,
ناباب,0,,,
نابکار,0,,,
نابنوا,0,,,
نابهره,0,,,
نابهنجار,0,,,
نابود,0,,,
نابینا,0,,,
ناپدید,0,,,
ناپرهیزی,0,,,
ناپسند,0,,,
ناتمام,0,,,
ناتو,0,,,
ناجنس,0,,,
ناجور,0,,,
ناخواسته,0,,,
ناخوش,0,,,
ناداشت,0,,,
نادان,0,,,
نادرست,0,,,
نادرویش,0,,,
نارنجی,0,,,
نازا,0,,,
نازش,0,,,
نازی,0,,,
ناساز,0,,,
ناسپاس,0,,,
ناسره,0,,,
ناسزا,0,,,
ناسگالیده,0,,,
ناشتا,0,,,
ناشنا,0,,,
ناشناس,0,,,
ناشو,0,,,
نافرجام,0,,,
نافرمان,0,,,
ناک,0,,,
ناکار,0,,,
ناکام,0,,,
ناکس,0,,,
ناگوار,0,,,
نالانی,0,,,
نالش,0,,,
نالوطی,0,,,
نام بردار,0,,,
نامادری,0,,,
نامدار,0,,,
نامرد,0,,,
نامور,0,,,
نامویه,0,,,
ناناز,0,,,
نانوا,0,,,
نانورد,0,,,
نانیوشان,0,,,
ناهار,0,,,
ناهمامون,0,,,
ناهمساویک,0,,,
ناهم‌مون,0,,,
ناهموار,0,,,
ناهنجار,0,,,
ناویژه,0,,,
نایافت,0,,,
نپاهش‌پذیر,0,,,
نپاهشی,0,,,
نپاهیدنی,0,,,
نتربوق,0,,,
نجاح,0,,,
نجند,0,,,
نخست,0,,,
نخیز,0,,,
ندار,0,,,
نراد,0,,,
نرم‌افزام,0,,,
نرمه,0,,,
نروژى,0,,,
نروک,0,,,
نرینه,0,,,
نزاکت,0,,,
نزان,0,,,
نژاده,0,,,
نژند,0,,,
نسپاس,0,,,
نستوه,0,,,
نسو,0,,,
نسود,0,,,
نشمه,0,,,
نشو,0,,,
نغاک,0,,,
نغوشه,0,,,
نغول,0,,,
نفام,0,,,
نفله,0,,,
نقلیه,0,,,
نکو,0,,,
نکوهش,0,,,
نگار,0,,,
نگارش,0,,,
نگد,0,,,
نگر,0,,,
نگرش,0,,,
نگوسار,0,,,
نگون,0,,,
نلم,0,,,
نمناک,0,,,
نمونش,0,,,
نمید,0,,,
ننر,0,,,
نهمار,0,,,
نو,0,,,
نوازش,0,,,
نوانی,0,,,
نوچ,0,,,
نوروزی,0,,,
نوستالژی,0,,,
نوشاد,0,,,
نوشت,0,,,
نوشنجه,0,,,
نوشه,0,,,
نوشین,0,,,
نوکر,0,,,
نومید,0,,,
نیازمند,0,,,
نیو,0,,,
نیوشیدن,0,,,
هاتول,0,,,
هاج,0,,,
هار,0,,,
هاروهور,0,,,
هاف هافو,0,,,
هاموار,0,,,
هامی,0,,,
هپرو,0,,,
هپل وهپو,0,,,
هج,0,,,
هجیر,0,,,
هده,0,,,
هراس ناک,0,,,
هراش,0,,,
هراش هراش,0,,,
هردمبیل,0,,,
هرز,0,,,
هرفت,0,,,
هزاک,0,,,
هستو,0,,,
هشلهف,0,,,
هشنگ,0,,,
هشوار,0,,,
هشومند,0,,,
هشیار,0,,,
هشیوار,0,,,
هفهفو,0,,,
هکف,0,,,
هلاشم,0,,,
هلاهل,0,,,
هلاهلا,0,,,
هلپند,0,,,
هلندی,0,,,
هم آواز,0,,,
هم بازی,0,,,
هم بستر,0,,,
هم پالکی,0,,,
هم پشت,0,,,
هم پیاله,0,,,
هم پیمان,0,,,
هم تازیانه,0,,,
هم تک,0,,,
هم چشم,0,,,
هم چنان,0,,,
هم چند,0,,,
هم داستان,0,,,
هم ریش,0,,,
هم زانو,0,,,
هم زلف,0,,,
هم شکم,0,,,
هم شهری,0,,,
هم کاسه,0,,,
هم کت,0,,,
هم گوشه,0,,,
همامون,0,,,
هماننده,0,,,
هماور,0,,,
هماورد,0,,,
همایون,0,,,
همباز,0,,,
همبر,0,,,
همپک,0,,,
همدست,0,,,
همزاد,0,,,
همزی,0,,,
همسایه,0,,,
همسر,0,,,
همسنجشی,0,,,
همسنجیک,0,,,
همگنان,0,,,
هم‌مرکز,0,,,
هم‌مون,0,,,
همه‌جانبه,0,,,
هنایش,0,,,
هنباز,0,,,
هنجام,0,,,
هنرپیشه,0,,,
هنرمند,0,,,
هواسیده,0,,,
هواگیر,0,,,
هوچی,0,,,
هودر,0,,,
هویدا,0,,,
هیراد,0,,,
هیز,0,,,
وا,0,,,
واپسگرا,0,,,
واپسین,0,,,
واتگر,0,,,
واج,0,,,
وادار,0,,,
وارسی,0,,,
وارونه,0,,,
وارونی,0,,,
واریز,0,,,
واز,0,,,
واژگون,0,,,
واژون,0,,,
واکاویک,0,,,
واکنش,0,,,
واگردان,0,,,
واگوی,0,,,
واگویه,0,,,
والا,0,,,
وایا,0,,,
وایست,0,,,
وجاء,0,,,
وحیده,0,,,
وراج,0,,,
ورانداز,0,,,
ورت,0,,,
ورخج,0,,,
وردست,0,,,
ورزش,0,,,
ورزیدگی,0,,,
ورساز,0,,,
ورفان,0,,,
ورنا,0,,,
ورنج,0,,,
وریب,0,,,
وزش,0,,,
وزوزی,0,,,
وستاد,0,,,
وسن,0,,,
وسناد,0,,,
وش,0,,,
وشت,0,,,
وشکول,0,,,
وشناد,0,,,
وغست,0,,,
وغیش,0,,,
ولو,0,,,
ونگ,0,,,
وه,0,,,
ویدا,0,,,
ویران,0,,,
ویرایش,0,,,
ویلان,0,,,
یاب,0,,,
یازه,0,,,
یافه,0,,,
یالمند,0,,,
یاور,0,,,
یاوه,0,,,
یتاقی,0,,,
یخلا بودن,0,,,
یشمی,0,,,
یک بخته,0,,,
یک پهلو,0,,,
یکپارچه,0,,,
یکدست,0,,,
یکدستی,0,,,
یکدش,0,,,
یکرنگ,0,,,
یکسو شدن,0,,,
یکسوار,0,,,
یکسون,0,,,
یکی یکدانه,0,,,
یگونه,0,,,
یل,0,,,
یله,0,,,
